user_id,age_bucket,gender,region,language,subscription_status,signup_date,payment_type,utterance_type,device_type,device_subtype,device_model,os_version,app_version,build_number,llm_model,model_version,temperature,max_tokens,streaming_enabled,experiment_id,variant,assignment_date
1,18-24,M,LATAM,en,Plus,2024-05-19,Monthly,voice,phone,android,Galaxy S23,Android 14,v1.9.1,b5665,gpt-4.1-mini,2025-12-01,1.12,512,1,,,2026-01-06
2,35-44,F,NA,fr,Team,2025-03-19,Monthly,voice,laptop,macbook,MacBook Pro 14,macOS 14,v1.9.0,b2711,gpt-4.1-mini,2025-12-01,0.63,1024,1,,,2026-01-06
3,25-34,F,NA,de,Free,2024-02-10,None,text,phone,android,Galaxy S23,Android 14,v1.8.7,b7552,gpt-4.1-mini,2025-12-01,0.79,1024,1,,,2026-01-06
4,35-44,M,APAC,en,Free,2024-02-16,None,text,phone,android,Pixel 7,Android 13,v1.9.0,b4611,gpt-4o,2025-11-15,0.58,512,0,,,2026-01-06
5,55+,M,APAC,es,Plus,2024-11-24,Annual,text,phone,ios,iPhone 15,iOS 17,v1.8.2,b6432,gpt-4o-mini,2025-10-20,0.8,256,0,,,2026-01-06
6,25-34,M,NA,de,Free,2025-01-26,None,click,phone,android,Galaxy S22,Android 13,v1.9.1,b5157,gpt-4o,2025-11-15,0.62,2048,0,,,2026-01-06
7,25-34,M,NA,hi,Plus,2024-12-01,Monthly,text,phone,ios,iPhone 13,iOS 16,v1.7.9,b8197,gpt-4o-mini,2025-10-20,1.02,512,1,,,2026-01-06
8,18-24,M,EU,en,Free,2024-11-13,None,text,laptop,lenovo,Lenovo X1 Carbon,Windows 11,v1.9.0,b3161,gpt-4o,2025-11-15,0.68,512,1,,,2026-01-06
9,25-34,F,LATAM,es,Free,2024-07-09,None,text,laptop,macbook,MacBook Air M1,macOS 14,v1.9.0,b2727,gpt-4.1-mini,2025-12-01,0.82,256,0,,,2026-01-06
10,25-34,Prefer_not_say,NA,fr,Team,2025-09-15,Monthly,text,phone,ios,iPhone 15,iOS 17,v1.9.0,b9346,gpt-4o-mini,2025-10-20,0.69,2048,1,,,2026-01-06
11,35-44,F,LATAM,es,Team,2024-03-13,Monthly,text,phone,ios,iPhone 12,iOS 17,v1.8.7,b3991,gpt-4.1-mini,2025-12-01,0.99,256,1,,,2026-01-06
12,45-54,F,EU,es,Free,2024-03-25,None,text,phone,ios,iPhone 13,iOS 17,v1.9.1,b2265,gpt-4o-mini,2025-10-20,0.41,256,1,,,2026-01-06
13,25-34,M,NA,es,Free,2024-09-17,None,text,phone,android,Galaxy S23,Android 13,v1.9.0,b7076,gpt-4o-mini,2025-10-20,0.71,1024,1,,,2026-01-06
14,18-24,M,APAC,en,Free,2024-05-29,None,voice,laptop,macbook,MacBook Air M1,macOS 13,v1.9.0,b8272,gpt-4o,2025-11-15,0.6,512,1,,,2026-01-06
15,25-34,Prefer_not_say,EU,de,Plus,2024-07-17,Monthly,click,laptop,macbook,MacBook Pro 16,macOS 14,v1.9.1,b6155,gpt-4o,2025-11-15,0.61,512,1,,,2026-01-06
16,45-54,M,LATAM,en,Plus,2024-09-01,Monthly,voice,phone,android,Galaxy S23,Android 14,v1.8.2,b7615,gpt-4o,2025-11-15,0.85,512,1,,,2026-01-06
17,25-34,F,EU,pt,Free,2024-03-08,None,voice,phone,ios,iPhone 15,iOS 17,v1.9.0,b9842,gpt-4o,2025-11-15,0.93,512,0,,,2026-01-06
18,25-34,M,EU,en,Free,2025-02-02,None,click,laptop,macbook,MacBook Air M1,macOS 13,v1.9.1,b7871,gpt-4o,2025-11-15,0.62,256,0,,,2026-01-06
19,55+,F,NA,en,Team,2024-02-08,Monthly,text,laptop,lenovo,Lenovo X1 Carbon,Windows 11,v1.9.0,b6238,gpt-4o,2025-11-15,0.9,512,1,,,2026-01-06
20,18-24,M,APAC,en,Team,2024-02-18,Monthly,text,phone,android,Galaxy S22,Android 14,v1.7.9,b4579,gpt-4.1-mini,2025-12-01,0.57,256,1,,,2026-01-06
21,35-44,F,NA,en,Plus,2024-10-05,Monthly,voice,laptop,macbook,MacBook Air M2,macOS 13,v1.7.9,b3884,gpt-4o,2025-11-15,0.7,1024,1,,,2026-01-06
22,55+,M,NA,en,Free,2024-11-21,None,text,phone,android,Pixel 6,Android 14,v1.8.7,b2923,gpt-4o-mini,2025-10-20,0.79,256,1,,,2026-01-06
23,25-34,Prefer_not_say,NA,hi,Free,2024-06-14,None,voice,phone,ios,iPhone 13,iOS 17,v1.9.0,b3542,gpt-4o,2025-11-15,0.67,256,1,voice_latency_optim_v1,treatment,2026-01-06
24,35-44,F,LATAM,en,Free,2024-03-27,None,text,phone,android,Pixel 7,Android 14,v1.8.2,b2841,gpt-4.1-mini,2025-12-01,0.67,512,1,,,2026-01-06
25,45-54,M,NA,en,Plus,2024-07-13,Monthly,voice,phone,ios,iPhone 13,iOS 17,v1.9.0,b8943,gpt-4o,2025-11-15,0.84,2048,1,,,2026-01-06
26,18-24,M,NA,en,Plus,2025-09-09,Annual,voice,phone,android,Galaxy S22,Android 13,v1.9.0,b2984,gpt-4.1-mini,2025-12-01,0.55,256,0,,,2026-01-06
27,25-34,M,APAC,en,Free,2025-09-14,None,text,laptop,macbook,MacBook Pro 14,macOS 14,v1.8.2,b6479,gpt-4o,2025-11-15,0.75,256,1,,,2026-01-06
28,35-44,M,APAC,en,Free,2024-10-03,None,text,laptop,macbook,MacBook Air M1,macOS 13,v1.9.1,b5851,gpt-4o,2025-11-15,0.75,512,1,,,2026-01-06
29,35-44,M,LATAM,en,Plus,2024-10-11,Monthly,text,phone,android,Pixel 7,Android 14,v1.7.9,b9900,gpt-4o,2025-11-15,0.64,256,1,,,2026-01-06
30,25-34,M,NA,fr,Free,2024-02-08,None,text,laptop,macbook,MacBook Air M1,macOS 13,v1.9.0,b2482,gpt-4o,2025-11-15,0.82,256,1,,,2026-01-06
31,25-34,M,NA,en,Team,2025-05-24,Monthly,voice,laptop,macbook,MacBook Pro 14,macOS 14,v1.7.9,b6281,gpt-4o,2025-11-15,0.62,512,1,,,2026-01-06
32,25-34,M,NA,hi,Free,2025-05-20,None,text,phone,android,Pixel 6,Android 14,v1.9.0,b5804,gpt-4o,2025-11-15,0.29,512,1,,,2026-01-06
33,25-34,M,NA,es,Free,2024-02-20,None,text,laptop,macbook,MacBook Air M1,macOS 14,v1.8.2,b6427,gpt-4o,2025-11-15,0.68,512,1,,,2026-01-06
34,25-34,F,NA,en,Free,2024-12-27,None,voice,phone,ios,iPhone 12,iOS 17,v1.8.2,b1521,gpt-4.1-mini,2025-12-01,0.61,512,1,voice_latency_optim_v1,treatment,2026-01-06
35,25-34,M,EU,pt,Free,2025-04-04,None,click,phone,ios,iPhone 12,iOS 16,v1.9.1,b5380,gpt-4o-mini,2025-10-20,0.66,512,1,,,2026-01-06
36,45-54,F,EU,en,Free,2025-08-20,None,text,laptop,lenovo,Lenovo Yoga 7,Windows 11,v1.9.0,b4435,gpt-4o,2025-11-15,0.41,512,1,,,2026-01-06
37,35-44,M,NA,pt,Free,2025-01-15,None,text,laptop,macbook,MacBook Pro 16,macOS 13,v1.8.2,b8244,gpt-4o-mini,2025-10-20,0.67,512,1,,,2026-01-06
38,25-34,M,LATAM,en,Free,2024-06-08,None,voice,laptop,macbook,MacBook Air M1,macOS 13,v1.9.0,b9238,gpt-4o-mini,2025-10-20,0.39,512,0,voice_latency_optim_v1,control,2026-01-06
39,35-44,F,NA,hi,Plus,2024-05-31,Monthly,text,laptop,macbook,MacBook Air M1,macOS 14,v1.9.0,b4824,gpt-4o,2025-11-15,0.8,512,1,,,2026-01-06
40,25-34,M,NA,fr,Free,2025-07-05,None,text,phone,android,Pixel 7,Android 14,v1.8.7,b5042,gpt-4o,2025-11-15,0.87,512,1,,,2026-01-06
41,25-34,M,APAC,en,Free,2024-09-15,None,text,phone,ios,iPhone 15,iOS 17,v1.8.7,b4798,gpt-4o,2025-11-15,0.68,256,1,,,2026-01-06
42,25-34,F,NA,hi,Free,2024-03-23,None,voice,laptop,macbook,MacBook Pro 14,macOS 14,v1.8.7,b7611,gpt-4o-mini,2025-10-20,0.6,256,0,voice_latency_optim_v1,treatment,2026-01-06
43,35-44,M,NA,en,Free,2024-09-16,None,text,phone,ios,iPhone 13,iOS 17,v1.9.0,b8792,gpt-4.1-mini,2025-12-01,0.68,512,1,,,2026-01-06
44,25-34,M,EU,en,Free,2024-03-06,None,text,phone,ios,iPhone 13,iOS 17,v1.9.1,b1158,gpt-4o,2025-11-15,0.47,512,1,,,2026-01-06
45,25-34,F,EU,hi,Plus,2025-07-18,Annual,text,phone,ios,iPhone 13,iOS 17,v1.9.1,b2463,gpt-4o,2025-11-15,0.72,256,1,,,2026-01-06
46,35-44,M,APAC,en,Plus,2024-05-11,Annual,text,phone,android,Pixel 7,Android 13,v1.8.2,b3708,gpt-4.1-mini,2025-12-01,0.85,1024,0,,,2026-01-06
47,25-34,Prefer_not_say,NA,en,Free,2024-07-23,None,text,laptop,lenovo,Lenovo X1 Carbon,Windows 11,v1.9.0,b3704,gpt-4o,2025-11-15,0.46,512,1,,,2026-01-06
48,45-54,M,LATAM,de,Free,2024-07-11,None,text,laptop,macbook,MacBook Pro 16,macOS 14,v1.8.7,b2205,gpt-4o,2025-11-15,0.44,1024,1,,,2026-01-06
49,25-34,M,NA,de,Team,2024-02-04,Monthly,voice,phone,android,Pixel 6,Android 14,v1.9.1,b9629,gpt-4o,2025-11-15,1.01,512,1,voice_latency_optim_v1,treatment,2026-01-06
50,35-44,M,EU,es,Free,2025-01-01,None,text,phone,ios,iPhone 13,iOS 16,v1.7.9,b6010,gpt-4o,2025-11-15,1.2,256,0,,,2026-01-06
51,25-34,M,EU,en,Free,2024-12-17,None,text,laptop,lenovo,Lenovo ThinkPad T14,Windows 11,v1.7.9,b3666,gpt-4o,2025-11-15,1.09,1024,1,,,2026-01-06
52,25-34,M,NA,de,Free,2025-06-09,None,text,phone,ios,iPhone 12,iOS 16,v1.9.0,b5208,gpt-4o,2025-11-15,0.68,2048,1,,,2026-01-06
53,35-44,M,APAC,en,Free,2024-02-20,None,voice,phone,ios,iPhone 12,iOS 16,v1.9.0,b4487,gpt-4o,2025-11-15,0.49,256,1,voice_latency_optim_v1,control,2026-01-06
